Latitude,Longitude,Elevation (m),Timestamp,Heart Rate,Power
63.4143970,10.4162730,78.6,2023-09-05T10:07:20Z,70,0
63.4144080,10.4162780,78.6,2023-09-05T10:07:21Z,70,0
63.4144300,10.4162550,78.6,2023-09-05T10:07:22Z,70,32
63.4144430,10.4162370,78.6,2023-09-05T10:07:23Z,69,40
63.4144670,10.4162320,78.6,2023-09-05T10:07:24Z,70,60
63.4144850,10.4162280,78.6,2023-09-05T10:07:25Z,69,76
63.4145100,10.4162100,78.6,2023-09-05T10:07:26Z,69,140
63.4145320,10.4161820,78.6,2023-09-05T10:07:27Z,69,200
63.4145550,10.4161370,78.6,2023-09-05T10:07:28Z,69,260
63.4145920,10.4161180,78.6,2023-09-05T10:07:29Z,69,302
63.4146320,10.4161180,78.6,2023-09-05T10:07:30Z,69,342
63.4146720,10.4161000,78.6,2023-09-05T10:07:31Z,69,336
63.4147080,10.4160750,78.6,2023-09-05T10:07:32Z,69,336
63.4147450,10.4160520,78.6,2023-09-05T10:07:33Z,69,330
63.4148030,10.4160020,78.6,2023-09-05T10:07:34Z,72,338
63.4148500,10.4159530,78.6,2023-09-05T10:07:35Z,75,344
63.4148880,10.4159050,78.6,2023-09-05T10:07:36Z,76,348
63.4149220,10.4158470,78.6,2023-09-05T10:07:37Z,76,350
63.4149370,10.4157750,78.6,2023-09-05T10:07:38Z,77,350
63.4149550,10.4157170,79.7,2023-09-05T10:07:39Z,78,340
63.4149680,10.4156680,79.7,2023-09-05T10:07:40Z,82,322
63.4149850,10.4156350,79.7,2023-09-05T10:07:41Z,84,296
63.4150080,10.4156080,79.7,2023-09-05T10:07:42Z,84,272
63.4150300,10.4155800,79.7,2023-09-05T10:07:43Z,85,246
63.4150500,10.4155370,79.7,2023-09-05T10:07:44Z,86,236
63.4150670,10.4154780,80.6,2023-09-05T10:07:45Z,89,242
63.4151000,10.4153970,80.6,2023-09-05T10:07:46Z,91,254
63.4151330,10.4153320,80.6,2023-09-05T10:07:47Z,91,270
63.4151680,10.4152700,80.6,2023-09-05T10:07:48Z,93,284
63.4152030,10.4152150,80.6,2023-09-05T10:07:49Z,96,294
63.4152370,10.4151680,80.6,2023-09-05T10:07:50Z,100,304
63.4152630,10.4151150,81.7,2023-09-05T10:07:51Z,101,316
63.4152930,10.4150620,81.7,2023-09-05T10:07:52Z,101,330
63.4153200,10.4150250,81.7,2023-09-05T10:07:53Z,104,340
63.4153470,10.4149920,81.7,2023-09-05T10:07:54Z,108,354
63.4153770,10.4149620,82.8,2023-09-05T10:07:55Z,114,360
63.4154130,10.4149530,82.8,2023-09-05T10:07:56Z,116,364
