Latitude,Longitude,Elevation,Time,HeartRate,Power
42.279222,-71.03097,6.7,2023-09-14 23:58:22+00:00,,
42.279222,-71.03097,6.7,2023-09-14 23:58:23+00:00,,
42.279215,-71.030995,6.7,2023-09-14 23:58:24+00:00,,
42.279205,-71.031022,6.7,2023-09-14 23:58:25+00:00,,
42.279195,-71.03105,6.7,2023-09-14 23:58:26+00:00,,
42.279183,-71.031083,6.7,2023-09-14 23:58:27+00:00,,
42.279178,-71.031113,6.7,2023-09-14 23:58:28+00:00,,
42.279172,-71.031155,6.7,2023-09-14 23:58:29+00:00,,
42.279162,-71.031185,6.7,2023-09-14 23:58:30+00:00,,
42.279152,-71.031225,6.7,2023-09-14 23:58:31+00:00,,
42.279135,-71.031257,6.7,2023-09-14 23:58:32+00:00,,
42.279107,-71.031298,6.7,2023-09-14 23:58:33+00:00,,
42.279082,-71.031332,6.7,2023-09-14 23:58:34+00:00,,
42.279067,-71.031365,7.8,2023-09-14 23:58:35+00:00,,
42.279048,-71.031395,7.8,2023-09-14 23:58:36+00:00,,
42.279037,-71.031418,7.8,2023-09-14 23:58:37+00:00,,
42.279022,-71.031447,7.8,2023-09-14 23:58:38+00:00,,
42.279005,-71.031475,7.8,2023-09-14 23:58:39+00:00,,
42.278988,-71.031498,7.8,2023-09-14 23:58:40+00:00,,
42.278973,-71.031523,7.8,2023-09-14 23:58:41+00:00,,
42.278953,-71.031547,7.8,2023-09-14 23:58:42+00:00,,
42.278937,-71.031573,7.8,2023-09-14 23:58:43+00:00,,
42.27892,-71.031593,7.8,2023-09-14 23:58:44+00:00,,
42.278897,-71.031612,7.8,2023-09-14 23:58:45+00:00,,
42.278882,-71.031627,7.8,2023-09-14 23:58:46+00:00,,
42.27886,-71.03165,7.8,2023-09-14 23:58:47+00:00,,
42.278843,-71.031668,7.8,2023-09-14 23:58:48+00:00,,
42.278825,-71.031687,7.8,2023-09-14 23:58:49+00:00,,
42.27881,-71.0317,7.8,2023-09-14 23:58:50+00:00,,
42.278792,-71.031725,7.8,2023-09-14 23:58:51+00:00,,
42.278778,-71.031743,7.8,2023-09-14 23:58:52+00:00,,
42.278773,-71.031758,9.8,2023-09-14 23:58:53+00:00,,
42.278758,-71.031778,9.8,2023-09-14 23:58:54+00:00,,
42.278745,-71.031787,9.8,2023-09-14 23:58:55+00:00,,
42.278722,-71.031793,9.8,2023-09-14 23:58:56+00:00,,
42.278705,-71.031778,9.8,2023-09-14 23:58:57+00:00,,
42.27869,-71.031757,9.8,2023-09-14 23:58:58+00:00,,
42.278693,-71.031733,9.8,2023-09-14 23:58:59+00:00,,
42.278682,-71.031695,9.8,2023-09-14 23:59:00+00:00,,
42.278673,-71.031665,9.8,2023-09-14 23:59:01+00:00,,
42.278662,-71.03163,9.8,2023-09-14 23:59:02+00:00,,
42.278652,-71.031598,9.8,2023-09-14 23:59:03+00:00,,
42.27864,-71.031563,9.8,2023-09-14 23:59:04+00:00,,
42.278627,-71.031533,9.8,2023-09-14 23:59:05+00:00,,
42.278605,-71.031492,9.8,2023-09-14 23:59:06+00:00,,
42.27859,-71.031457,8.8,2023-09-14 23:59:07+00:00,,
42.278578,-71.031432,8.8,2023-09-14 23:59:08+00:00,,
42.278567,-71.031402,8.8,2023-09-14 23:59:09+00:00,,
42.278552,-71.031368,8.8,2023-09-14 23:59:10+00:00,,
42.278538,-71.031352,8.8,2023-09-14 23:59:11+00:00,,
42.278517,-71.03133,8.8,2023-09-14 23:59:12+00:00,,
42.2785,-71.031303,7.8,2023-09-14 23:59:13+00:00,,
42.278487,-71.03128,7.8,2023-09-14 23:59:14+00:00,,
42.278475,-71.031257,7.8,2023-09-14 23:59:15+00:00,,
42.278458,-71.031232,7.8,2023-09-14 23:59:16+00:00,,
42.278445,-71.031213,7.8,2023-09-14 23:59:17+00:00,,
42.278427,-71.031187,7.8,2023-09-14 23:59:18+00:00,,
42.278402,-71.031153,7.8,2023-09-14 23:59:19+00:00,,
42.278387,-71.031132,7.8,2023-09-14 23:59:20+00:00,,
42.278365,-71.031107,7.8,2023-09-14 23:59:21+00:00,,
42.27834,-71.031078,7.8,2023-09-14 23:59:22+00:00,,
42.278322,-71.031055,7.8,2023-09-14 23:59:23+00:00,,
42.278302,-71.031028,7.8,2023-09-14 23:59:24+00:00,,
42.278275,-71.030992,7.8,2023-09-14 23:59:25+00:00,,
42.278257,-71.030962,7.8,2023-09-14 23:59:26+00:00,,
42.278235,-71.030933,7.8,2023-09-14 23:59:27+00:00,,
42.278212,-71.030905,7.8,2023-09-14 23:59:28+00:00,,
42.278193,-71.030882,7.8,2023-09-14 23:59:29+00:00,,
42.278175,-71.030858,7.8,2023-09-14 23:59:30+00:00,,
42.27816,-71.030837,7.8,2023-09-14 23:59:31+00:00,,
42.278143,-71.030813,7.8,2023-09-14 23:59:32+00:00,,
42.278125,-71.030787,7.8,2023-09-14 23:59:33+00:00,,
42.27811,-71.030758,7.8,2023-09-14 23:59:34+00:00,,
42.278092,-71.030727,6.7,2023-09-14 23:59:35+00:00,,
42.278075,-71.030697,6.7,2023-09-14 23:59:36+00:00,,
42.278057,-71.030667,6.7,2023-09-14 23:59:37+00:00,,
42.278038,-71.030637,6.7,2023-09-14 23:59:38+00:00,,
42.278018,-71.030605,6.7,2023-09-14 23:59:39+00:00,,
42.277993,-71.030575,6.7,2023-09-14 23:59:40+00:00,,
42.277965,-71.030542,6.7,2023-09-14 23:59:41+00:00,,
42.277943,-71.030518,6.7,2023-09-14 23:59:42+00:00,,
42.277917,-71.03049,6.7,2023-09-14 23:59:43+00:00,,
42.277892,-71.030458,6.7,2023-09-14 23:59:44+00:00,,
42.277868,-71.030428,6.7,2023-09-14 23:59:45+00:00,,
42.277847,-71.0304,6.7,2023-09-14 23:59:46+00:00,,
42.27782,-71.030368,6.7,2023-09-14 23:59:47+00:00,,
42.2778,-71.030343,6.7,2023-09-14 23:59:48+00:00,,
42.277778,-71.030313,6.7,2023-09-14 23:59:49+00:00,,
42.277755,-71.03028,6.7,2023-09-14 23:59:50+00:00,,
42.27774,-71.03026,6.7,2023-09-14 23:59:51+00:00,,
42.277717,-71.030235,6.7,2023-09-14 23:59:52+00:00,,
42.277698,-71.030212,6.7,2023-09-14 23:59:53+00:00,,
42.277677,-71.030185,6.7,2023-09-14 23:59:54+00:00,,
42.277662,-71.030162,6.7,2023-09-14 23:59:55+00:00,,
42.277653,-71.030145,6.7,2023-09-14 23:59:56+00:00,,
42.277642,-71.030122,6.7,2023-09-14 23:59:57+00:00,,
42.277625,-71.030098,6.7,2023-09-14 23:59:58+00:00,,
42.27761,-71.030078,6.7,2023-09-14 23:59:59+00:00,,
42.277598,-71.030063,6.7,2023-09-15 00:00:00+00:00,,
42.277585,-71.030043,6.7,2023-09-15 00:00:01+00:00,,
42.277568,-71.03002,6.7,2023-09-15 00:00:02+00:00,,
42.277547,-71.029988,6.7,2023-09-15 00:00:03+00:00,,
42.277525,-71.029963,6.7,2023-09-15 00:00:04+00:00,,
42.277508,-71.029938,6.7,2023-09-15 00:00:05+00:00,,
42.277488,-71.029915,6.7,2023-09-15 00:00:06+00:00,,
42.27747,-71.029897,6.7,2023-09-15 00:00:07+00:00,,
42.277452,-71.029877,6.7,2023-09-15 00:00:08+00:00,,
42.277433,-71.029855,6.7,2023-09-15 00:00:09+00:00,,
42.277423,-71.029835,6.7,2023-09-15 00:00:10+00:00,,
42.277412,-71.029812,6.7,2023-09-15 00:00:11+00:00,,
42.2774,-71.029783,6.7,2023-09-15 00:00:12+00:00,,
42.277387,-71.029757,6.7,2023-09-15 00:00:13+00:00,,
42.27737,-71.02973,6.7,2023-09-15 00:00:14+00:00,,
42.277353,-71.029707,6.7,2023-09-15 00:00:15+00:00,,
42.27734,-71.029683,6.7,2023-09-15 00:00:16+00:00,,
42.277327,-71.029655,6.7,2023-09-15 00:00:17+00:00,,
42.277315,-71.029623,6.7,2023-09-15 00:00:18+00:00,,
42.2773,-71.029593,6.7,2023-09-15 00:00:19+00:00,,
42.277283,-71.029563,6.7,2023-09-15 00:00:20+00:00,,
42.277268,-71.029533,6.7,2023-09-15 00:00:21+00:00,,
42.27726,-71.029505,6.7,2023-09-15 00:00:22+00:00,,
42.277252,-71.029488,6.7,2023-09-15 00:00:23+00:00,,
42.27724,-71.029473,6.7,2023-09-15 00:00:24+00:00,,
42.277228,-71.029465,6.7,2023-09-15 00:00:25+00:00,,
42.277213,-71.029457,6.7,2023-09-15 00:00:26+00:00,,
42.277195,-71.029442,5.8,2023-09-15 00:00:27+00:00,,
42.277178,-71.029423,5.8,2023-09-15 00:00:28+00:00,,
42.277167,-71.02941,5.8,2023-09-15 00:00:29+00:00,,
42.277152,-71.029397,5.8,2023-09-15 00:00:30+00:00,,
42.27714,-71.029387,6.7,2023-09-15 00:00:31+00:00,,
42.277127,-71.029373,6.7,2023-09-15 00:00:32+00:00,,
42.277117,-71.029363,6.7,2023-09-15 00:00:33+00:00,,
42.277105,-71.02935,6.7,2023-09-15 00:00:34+00:00,,
42.277092,-71.029333,6.7,2023-09-15 00:00:35+00:00,,
42.277077,-71.029317,6.7,2023-09-15 00:00:36+00:00,,
42.27706,-71.029295,6.7,2023-09-15 00:00:37+00:00,,
42.27704,-71.029277,6.7,2023-09-15 00:00:38+00:00,,
42.27702,-71.029253,6.7,2023-09-15 00:00:39+00:00,,
42.277003,-71.02923,6.7,2023-09-15 00:00:40+00:00,,
42.276992,-71.029207,6.7,2023-09-15 00:00:41+00:00,,
42.276977,-71.02918,6.7,2023-09-15 00:00:42+00:00,,
42.276958,-71.029152,6.7,2023-09-15 00:00:43+00:00,,
42.276938,-71.029125,6.7,2023-09-15 00:00:44+00:00,,
42.276917,-71.029097,6.7,2023-09-15 00:00:45+00:00,,
42.276895,-71.029068,6.7,2023-09-15 00:00:46+00:00,,
42.276875,-71.029042,6.7,2023-09-15 00:00:47+00:00,,
42.276853,-71.029008,6.7,2023-09-15 00:00:48+00:00,,
42.276837,-71.028978,6.7,2023-09-15 00:00:49+00:00,,
42.276818,-71.028948,6.7,2023-09-15 00:00:50+00:00,,
42.2768,-71.028925,6.7,2023-09-15 00:00:51+00:00,,
42.276778,-71.028898,6.7,2023-09-15 00:00:52+00:00,,
42.276762,-71.028872,6.7,2023-09-15 00:00:53+00:00,,
42.27674,-71.028852,6.7,2023-09-15 00:00:54+00:00,,
42.276715,-71.028827,6.7,2023-09-15 00:00:55+00:00,,
42.276697,-71.028802,6.7,2023-09-15 00:00:56+00:00,,
42.276682,-71.028782,6.7,2023-09-15 00:00:57+00:00,,
42.276663,-71.028748,6.7,2023-09-15 00:00:58+00:00,,
42.27665,-71.028723,6.7,2023-09-15 00:00:59+00:00,,
42.27664,-71.028703,6.7,2023-09-15 00:01:00+00:00,,
42.276625,-71.028678,6.7,2023-09-15 00:01:01+00:00,,
42.276613,-71.028655,6.7,2023-09-15 00:01:02+00:00,,
42.276608,-71.028643,6.7,2023-09-15 00:01:03+00:00,,
42.2766,-71.028627,6.7,2023-09-15 00:01:04+00:00,,
42.276592,-71.028607,6.7,2023-09-15 00:01:05+00:00,,
42.276578,-71.028583,6.7,2023-09-15 00:01:06+00:00,,
42.276563,-71.028562,6.7,2023-09-15 00:01:07+00:00,,
42.276543,-71.028537,6.7,2023-09-15 00:01:08+00:00,,
42.276522,-71.028515,6.7,2023-09-15 00:01:09+00:00,,
42.276502,-71.02849,6.7,2023-09-15 00:01:10+00:00,,
42.276487,-71.02847,6.7,2023-09-15 00:01:11+00:00,,
42.27647,-71.028443,6.7,2023-09-15 00:01:12+00:00,,
42.27645,-71.028412,6.7,2023-09-15 00:01:13+00:00,,
42.276433,-71.028383,6.7,2023-09-15 00:01:14+00:00,,
42.276418,-71.028357,6.7,2023-09-15 00:01:15+00:00,,
42.2764,-71.028332,6.7,2023-09-15 00:01:16+00:00,,
42.276383,-71.028307,6.7,2023-09-15 00:01:17+00:00,,
42.276367,-71.028283,6.7,2023-09-15 00:01:18+00:00,,
42.276347,-71.028262,6.7,2023-09-15 00:01:19+00:00,,
42.27633,-71.028242,6.7,2023-09-15 00:01:20+00:00,,
42.27632,-71.02822,6.7,2023-09-15 00:01:21+00:00,,
42.276308,-71.028197,6.7,2023-09-15 00:01:22+00:00,,
42.276295,-71.028177,7.8,2023-09-15 00:01:23+00:00,,
42.276292,-71.028163,7.8,2023-09-15 00:01:24+00:00,,
42.276285,-71.028137,7.8,2023-09-15 00:01:25+00:00,,
42.276278,-71.028113,7.8,2023-09-15 00:01:26+00:00,,
42.276273,-71.028088,7.8,2023-09-15 00:01:27+00:00,,
42.276267,-71.02806,7.8,2023-09-15 00:01:28+00:00,,
42.276255,-71.028033,7.8,2023-09-15 00:01:29+00:00,,
42.27624,-71.028018,7.8,2023-09-15 00:01:30+00:00,,
42.276217,-71.028012,8.8,2023-09-15 00:01:31+00:00,,
42.2762,-71.028003,8.8,2023-09-15 00:01:32+00:00,,
42.276188,-71.027998,8.8,2023-09-15 00:01:33+00:00,,
42.276177,-71.02799,8.8,2023-09-15 00:01:34+00:00,,
42.276165,-71.027978,8.8,2023-09-15 00:01:35+00:00,,
42.276152,-71.02797,8.8,2023-09-15 00:01:36+00:00,,
42.276142,-71.027958,8.8,2023-09-15 00:01:37+00:00,,
42.27613,-71.027953,8.8,2023-09-15 00:01:38+00:00,,
42.276125,-71.027955,8.8,2023-09-15 00:01:39+00:00,,
42.276123,-71.027955,8.8,2023-09-15 00:01:40+00:00,,
42.276127,-71.02796,8.8,2023-09-15 00:01:41+00:00,,
42.27613,-71.027962,8.8,2023-09-15 00:01:42+00:00,,
42.276128,-71.027962,8.8,2023-09-15 00:01:43+00:00,,
42.276128,-71.027962,8.8,2023-09-15 00:01:44+00:00,,
42.276128,-71.027957,8.8,2023-09-15 00:01:45+00:00,,
42.276135,-71.027955,8.8,2023-09-15 00:01:46+00:00,,
42.276142,-71.027955,8.8,2023-09-15 00:01:47+00:00,,
42.276143,-71.027957,8.8,2023-09-15 00:01:48+00:00,,
